source,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_6,cluster_12,12,12,0.9329973870847331,0.9526901207115405,0.9441602728047741,0.9107490228750903,0.3573275355505935,0.6273188309088482,0.6386615109623722,1.0178153313651634,1.1225705395210968
cluster_6,cluster_8,11,12,0.9493670886075949,0.9607407158815368,0.8620689655172413,0.9226511694391238,0.5949367088607594,0.3893805309734514,0.4502022858810294,1.0356731875719218,0.696786213320913
cluster_6,cluster_2,9,12,0.8679245283018868,0.8592471682181945,0.9622641509433962,0.9437494845871505,0.26785714285714285,0.5714285714285714,0.5704358824167224,0.9468267581475129,1.0225563909774436
cluster_6,cluster_1,8,12,0.9328470824949698,0.9474337456397428,0.9336322081575246,0.9324359281963259,0.09184574624668826,0.796666072383669,0.8678046914318951,1.0176513627217854,1.425612971633934
cluster_6,cluster_10,8,12,0.851905183872397,0.8855340356341338,0.8853530950305144,0.8852991740768428,0.2863945578231293,0.6198717948717949,0.6091531480493291,0.9293511096789786,1.1092442645074223
cluster_6,all_valid,139,12,0.9133858267716536,0.931036659514467,0.9310344827586207,0.9341094447173813,0.34615384615384615,0.5714285714285714,0.5960588114597671,0.996420901932713,1.0225563909774436
cluster_12,cluster_0,57,14,0.9318181818181818,0.9122857946232671,0.9767441860465116,0.9921480547015181,0.2698412698412698,0.6779661016949152,0.6677446271252733,0.9802891780350796,0.9595134861197138
cluster_12,cluster_6,15,14,0.94,0.9825440836932127,0.8829787234042553,0.8720657187440873,0.47058823529411764,0.4782608695652174,0.47585223274433963,0.9888965952080706,0.6768741874909721
cluster_12,cluster_12,12,14,0.9505543901708121,0.9684839401342314,0.9250693802035153,0.9449834000558323,0.3359580052493438,0.7065727699530517,0.7261614907833044,1.0,1.0
cluster_12,cluster_8,11,14,0.9545454545454546,0.9602341294469876,0.8928571428571429,0.9125233652937265,0.4696969696969697,0.4657534246575342,0.44068668144733486,1.0041986701822767,0.6591726209438855
cluster_12,cluster_2,9,14,0.8571428571428571,0.8649799007603202,1.0178571428571428,0.9651673262967732,0.20454545454545456,0.6666666666666666,0.6061213661234107,0.9017294181228607,0.9435215946843852
cluster_12,cluster_1,8,14,0.9788732394366197,0.9514063228532562,0.9586245985263555,0.9493583875631559,0.30790297339593115,0.6896059903726155,0.6422862537554612,1.0297919293820934,0.9759872156104125
