source,source_build_mode,source_cluster_id,source_cluster_size,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_10,compact_support,10,8,cluster_12,12,4,1.0,0.9863937798130861,1.0215471936094178,1.0291506985921688,0.03364389233954451,0.9553897180762853,0.8734740110885366,1.273708021576475,1.2881358217090209
cluster_10,compact_support,10,8,cluster_8,11,4,0.9696969696969697,0.9746545724781582,1.0104166666666667,0.9936808734147895,0.15384615384615385,0.8541666666666667,0.7748590832915666,1.2351108088014302,1.1516584910067742
cluster_10,compact_support,10,8,cluster_2,9,4,0.7924528301886793,0.8091419593726972,0.9056603773584906,0.9371246196411218,0.11363636363636363,0.6964285714285715,0.7141222411346251,1.0093535265323008,0.9389828811692863
cluster_10,compact_support,10,8,cluster_10,8,4,0.7851092896174863,0.8616500890156175,0.8768817204301076,0.8902775767940647,0.09871794871794871,0.7416839916839917,0.7701704746347604,1.0,1.0
cluster_10,compact_support,10,8,cluster_1,8,4,0.976483903420523,0.9924462448212252,1.0114275668073136,1.1181178408573658,0.08469281499479347,1.0264500283393159,0.8938433678867826,1.2437553807270278,1.3839452379291126
cluster_10,compact_support,10,8,all_valid,139,4,0.9259259259259259,0.9684345418811926,1.0172413793103448,1.0638224361783233,0.11363636363636363,0.8421052631578947,0.8466554071564659,1.1793592792374767,1.135396304355844
cluster_1,compact_support,1,8,cluster_0,57,4,0.8367346938775511,0.8495718987393142,0.9722222222222222,0.9856490055547596,0.057971014492753624,0.7966101694915254,0.7623117069407713,0.9542024800160992,1.0780671328589175
cluster_1,compact_support,1,8,cluster_6,15,4,0.9375,0.9701903293650485,0.8829787234042553,0.9463929482562747,0.21739130434782608,0.7446808510638298,0.7452409009758187,1.0691140591643795,1.0077902351080419
cluster_1,compact_support,1,8,cluster_12,12,4,0.9034722222222222,0.8960048818926224,0.9104491815759421,0.9233934589116849,0.020505249343832025,0.8975127359904105,0.8349206759547075,1.030309178498413,1.2146204242046623
cluster_1,compact_support,1,8,cluster_8,11,4,0.9242424242424242,0.9166967738594992,0.90625,0.896841204614033,0.02531645569620253,0.9113924050632911,0.8187308660440316,1.0539952744893275,1.2334040345770756
cluster_1,compact_support,1,8,cluster_2,9,4,0.7169811320754716,0.7360234126049886,0.7857142857142857,0.7949081797364408,0.0784313725490196,0.6037735849056604,0.6385677973957079,0.8176369156879781,0.8170978509986496
cluster_1,compact_support,1,8,cluster_10,8,4,0.7353825136612022,0.7868375100650163,0.7626344086021506,0.7664827148598963,0.05015592515592516,0.6544665012406947,0.649899360743963,0.8386216365000881,0.8857015031519365
